officialAdministrativeCode	adminArea1	adminArea2	adminArea3	latitude	longitude	nx	ny	officialOrder
1100000000	서울특별시			37.563569	126.980008	60	127	1
1111000000	서울특별시	종로구		37.570378	126.981642	60	127	2
1111051500	서울특별시	종로구	청운효자동	37.584137	126.970652	60	127	3
1111053000	서울특별시	종로구	사직동	37.573269	126.970956	60	127	4
1111054000	서울특별시	종로구	삼청동	37.582425	126.983978	60	127	5
1111055000	서울특별시	종로구	부암동	37.589856	126.966444	60	127	6
1111056000	서울특별시	종로구	평창동	37.602522	126.968878	60	127	7
1111057000	서울특별시	종로구	무악동	37.571539	126.961208	60	127	8
1111058000	서울특별시	종로구	교남동	37.569075	126.9641	60	127	9
1111060000	서울특별시	종로구	가회동	37.577253	126.986911	60	127	10
1111061500	서울특별시	종로구	종로1.2.3.4가동	37.567886	126.991067	60	127	11
1111063000	서울특별시	종로구	종로5.6가동	37.569211	127.007156	60	127	12
1111064000	서울특별시	종로구	이화동	37.574214	127.006397	60	127	13
1111065000	서울특별시	종로구	혜화동	37.583989	127.002622	60	127	14
1111067000	서울특별시	종로구	창신제1동	37.567936	127.018464	61	127	15
1111068000	서울특별시	종로구	창신제2동	37.571644	127.012964	60	127	16
1111069000	서울특별시	종로구	창신제3동	37.575047	127.017164	60	127	17
1111070000	서울특별시	종로구	숭인제1동	37.575028	127.017664	60	127	18
1111071000	서울특별시	종로구	숭인제2동	37.572036	127.022056	61	127	19
1114000000	서울특별시	중구		37.561003	126.999642	60	127	20
1114052000	서울특별시	중구	소공동	37.559631	126.979108	60	127	21
1114054000	서울특별시	중구	회현동	37.554483	126.981444	60	126	22
1114055000	서울특별시	중구	명동	37.557236	126.987889	60	127	23
1114057000	서울특별시	중구	필동	37.557353	126.997711	60	127	24
1114058000	서울특별시	중구	장충동	37.559117	127.009933	60	127	25
1114059000	서울특별시	중구	광희동	37.561731	127.007164	60	127	26
1114060500	서울특별시	중구	을지로동	37.5639	126.993431	60	127	27
1114061500	서울특별시	중구	신당동	37.559311	127.016633	60	127	28
1114062500	서울특별시	중구	다산동	37.551617	127.010308	60	126	29
1114063500	서울특별시	중구	약수동	37.549658	127.011086	60	126	30
1114064500	서울특별시	중구	청구동	37.554258	127.016789	60	126	31
1114065000	서울특별시	중구	신당제5동	37.562331	127.023967	61	127	32
1114066500	서울특별시	중구	동화동	37.557228	127.021542	61	127	33
1114067000	서울특별시	중구	황학동	37.564664	127.023497	61	127	34
1114068000	서울특별시	중구	중림동	37.552033	126.9666	60	126	35
1117000000	서울특별시	용산구		37.536094	126.967522	60	126	36
1117051000	서울특별시	용산구	후암동	37.545881	126.980267	60	126	37
1117052000	서울특별시	용산구	용산2가동	37.543119	126.987564	60	126	38
1117053000	서울특별시	용산구	남영동	37.542833	126.976967	60	126	39
1117055500	서울특별시	용산구	청파동	37.542556	126.972042	60	126	40
1117056000	서울특별시	용산구	원효로제1동	37.535869	126.968342	60	126	41
1117057000	서울특별시	용산구	원효로제2동	37.531592	126.953578	59	126	42
1117058000	서울특별시	용산구	효창동	37.538953	126.963397	60	126	43
1117059000	서울특별시	용산구	용문동	37.53625	126.959664	60	126	44
1117062500	서울특별시	용산구	한강로동	37.526242	126.971533	60	126	45
1117063000	서울특별시	용산구	이촌제1동	37.518403	126.975356	60	126	46
1117064000	서울특별시	용산구	이촌제2동	37.524031	126.956331	59	126	47
1117065000	서울특별시	용산구	이태원제1동	37.529492	126.997042	60	126	48
1117066000	서울특별시	용산구	이태원제2동	37.537972	126.991844	60	126	49
1117068500	서울특별시	용산구	한남동	37.531886	127.002644	60	126	50
1117069000	서울특별시	용산구	서빙고동	37.517606	126.996778	60	126	51
1117070000	서울특별시	용산구	보광동	37.523464	127.002333	60	126	52
1120000000	서울특별시	성동구		37.560611	127.039	61	127	53
1120052000	서울특별시	성동구	왕십리제2동	37.558336	127.032711	61	127	54
1120053500	서울특별시	성동구	왕십리도선동	37.567754	127.025559	61	127	55
1120054000	서울특별시	성동구	마장동	37.563433	127.047564	61	127	56
1120055000	서울특별시	성동구	사근동	37.558406	127.047956	61	127	57
1120056000	서울특별시	성동구	행당제1동	37.555353	127.038078	61	126	58
1120057000	서울특별시	성동구	행당제2동	37.555575	127.031533	61	126	59
1120058000	서울특별시	성동구	응봉동	37.550347	127.035497	61	126	60
1120059000	서울특별시	성동구	금호1가동	37.552069	127.023944	61	126	61
1120061500	서울특별시	성동구	금호2.3가동	37.553188	127.020859	61	126	62
1120062000	서울특별시	성동구	금호4가동	37.544472	127.024475	61	126	63
1120064500	서울특별시	성동구	옥수동	37.543717	127.013463	60	126	64
1120065000	서울특별시	성동구	성수1가제1동	37.538958	127.051986	61	126	65
1120066000	서울특별시	성동구	성수1가제2동	37.543528	127.046364	61	126	66
1120067000	서울특별시	성동구	성수2가제1동	37.536703	127.0562	61	126	67
1120069000	서울특별시	성동구	성수2가제3동	37.545431	127.057333	61	126	68
1120072000	서울특별시	성동구	송정동	37.551728	127.071708	61	126	69
1120079000	서울특별시	성동구	용답동	37.561367	127.057433	61	127	70
1121500000	서울특별시	광진구		37.535739	127.084533	62	126	71
1121571000	서울특별시	광진구	화양동	37.543786	127.073464	61	126	72
1121573000	서울특별시	광진구	군자동	37.552353	127.077997	62	126	73
1121574000	서울특별시	광진구	중곡제1동	37.557842	127.082164	62	127	74
1121575000	서울특별시	광진구	중곡제2동	37.557475	127.083544	62	127	75
1121576000	서울특별시	광진구	중곡제3동	37.565917	127.082253	62	127	76
1121577000	서울특별시	광진구	중곡제4동	37.562511	127.089353	62	127	77
1121578000	서울특별시	광진구	능동	37.551028	127.082644	62	126	78
1121581000	서울특별시	광진구	광장동	37.544214	127.105308	62	126	79
1121582000	서울특별시	광진구	자양제1동	37.531686	127.084419	62	126	80
1121583000	서울특별시	광진구	자양제2동	37.526	127.0866	62	126	81
1121584000	서울특별시	광진구	자양제3동	37.531033	127.075031	61	126	82
1121584700	서울특별시	광진구	자양제4동	37.537486	127.067253	61	126	83
1121585000	서울특별시	광진구	구의제1동	37.539675	127.087867	62	126	84
1121586000	서울특별시	광진구	구의제2동	37.544439	127.092108	62	126	85
1121587000	서울특별시	광진구	구의제3동	37.536139	127.099689	62	126	86
1123000000	서울특별시	동대문구		37.571625	127.042142	61	127	87
1123051500	서울특별시	동대문구	신설동	37.573966	127.025736	61	127	88
1123053300	서울특별시	동대문구	용두동	37.575803	127.037247	61	127	89
1123054500	서울특별시	동대문구	제기동	37.583077	127.037784	61	127	90
1123056000	서울특별시	동대문구	전농제1동	37.575211	127.049867	61	127	91
1123057000	서울특별시	동대문구	전농제2동	37.581703	127.053864	61	127	92
1123060000	서울특별시	동대문구	답십리제1동	37.569275	127.054222	61	127	93
1123061000	서울특별시	동대문구	답십리제2동	37.569153	127.061575	61	127	94
1123065000	서울특별시	동대문구	장안제1동	37.564986	127.068478	61	127	95
1123066000	서울특별시	동대문구	장안제2동	37.568408	127.075308	61	127	96
1123070500	서울특별시	동대문구	청량리동	37.586259	127.047277	61	127	97
1123071000	서울특별시	동대문구	회기동	37.588008	127.057489	61	127	98
1123072000	서울특별시	동대문구	휘경제1동	37.590158	127.067819	61	127	99
1123073000	서울특별시	동대문구	휘경제2동	37.588494	127.069656	61	127	100
1123074000	서울특별시	동대문구	이문제1동	37.595	127.067631	61	127	101
1123075000	서울특별시	동대문구	이문제2동	37.591731	127.058619	61	127	102
1126000000	서울특별시	중랑구		37.603806	127.094778	62	128	103
1126052000	서울특별시	중랑구	면목제2동	37.586983	127.081133	62	127	104
1126054000	서울특별시	중랑구	면목제4동	37.571817	127.087622	62	127	105
1126055000	서울특별시	중랑구	면목제5동	37.583047	127.081722	62	127	106
1126056500	서울특별시	중랑구	면목본동	37.584561	127.089678	62	127	107
1126057000	서울특별시	중랑구	면목제7동	37.5762	127.089086	62	127	108
1126057500	서울특별시	중랑구	면목제3.8동	37.580236	127.090219	62	127	109
1126058000	서울특별시	중랑구	상봉제1동	37.597028	127.089289	62	127	110
1126059000	서울특별시	중랑구	상봉제2동	37.589611	127.085389	62	127	111
1126060000	서울특별시	중랑구	중화제1동	37.598386	127.082778	62	127	112
1126061000	서울특별시	중랑구	중화제2동	37.592217	127.077022	62	127	113
1126062000	서울특별시	중랑구	묵제1동	37.609622	127.080586	62	128	114
1126063000	서울특별시	중랑구	묵제2동	37.606797	127.078144	62	128	115
1126065500	서울특별시	중랑구	망우본동	37.598692	127.108464	62	127	116
1126066000	서울특별시	중랑구	망우제3동	37.589578	127.100267	62	127	117
1126068000	서울특별시	중랑구	신내1동	37.603083	127.101553	62	128	118
1126069000	서울특별시	중랑구	신내2동	37.603431	127.096275	62	128	119
1129000000	서울특별시	성북구		37.586383	127.020333	61	127	120
1129052500	서울특별시	성북구	성북동	37.587442	127.006086	60	127	121
1129055500	서울특별시	성북구	삼선동	37.582847	127.009556	60	127	122
1129057500	서울특별시	성북구	동선동	37.591278	127.022508	61	127	123
1129058000	서울특별시	성북구	돈암제1동	37.600508	127.028289	61	127	124
1129059000	서울특별시	성북구	돈암제2동	37.595256	127.012711	60	127	125
1129060000	서울특별시	성북구	안암동	37.583058	127.023478	61	127	126
1129061000	서울특별시	성북구	보문동	37.577589	127.0249	61	127	127
1129062000	서울특별시	성북구	정릉제1동	37.598642	127.018742	60	127	128
1129063000	서울특별시	성북구	정릉제2동	37.601667	127.013242	60	127	129
1129064000	서울특별시	성북구	정릉제3동	37.606167	127.006289	60	128	130
1129065000	서울특별시	성북구	정릉제4동	37.610786	127.008208	60	128	131
1129066000	서울특별시	성북구	길음제1동	37.601783	127.024167	61	127	132
1129068500	서울특별시	성북구	길음제2동	37.60385	127.0294	61	128	133
1129070500	서울특별시	성북구	종암동	37.597331	127.033553	61	127	134
1129071500	서울특별시	성북구	월곡제1동	37.604203	127.036142	61	128	135
1129072500	서울특별시	성북구	월곡제2동	37.599942	127.041689	61	127	136
1129076000	서울특별시	성북구	장위제1동	37.611192	127.045856	61	128	137
1129077000	서울특별시	성북구	장위제2동	37.609664	127.056708	61	128	138
1129078000	서울특별시	성북구	장위제3동	37.613772	127.058722	61	128	139
1129081000	서울특별시	성북구	석관동	37.610161	127.063519	61	128	140
1130500000	서울특별시	강북구		37.636956	127.027719	61	128	141
1130553400	서울특별시	강북구	삼양동	37.624483	127.020511	61	128	142
1130553500	서울특별시	강북구	미아동	37.624136	127.029019	61	128	143
1130554500	서울특별시	강북구	송중동	37.613361	127.035833	61	128	144
1130555500	서울특별시	강북구	송천동	37.615517	127.025956	61	128	145
1130557500	서울특별시	강북구	삼각산동	37.614431	127.019853	61	128	146
1130559500	서울특별시	강북구	번1동	37.635158	127.031019	61	128	147
1130560300	서울특별시	강북구	번2동	37.629386	127.040944	61	128	148
1130560800	서울특별시	강북구	번3동	37.623094	127.048689	61	128	149
1130561500	서울특별시	강북구	수유1동	37.630733	127.019297	60	128	150
1130562500	서울특별시	강북구	수유2동	37.641881	127.022042	61	128	151
1130563500	서울특별시	강북구	수유3동	37.635972	127.025319	61	128	152
1130564500	서울특별시	강북구	우이동	37.645194	127.014067	60	128	153
1130566000	서울특별시	강북구	인수동	37.638733	127.012767	60	128	154
1132000000	서울특별시	도봉구		37.665833	127.049522	61	129	155
1132051100	서울특별시	도봉구	창제1동	37.645647	127.045997	61	128	156
1132051200	서울특별시	도봉구	창제2동	37.638728	127.037767	61	128	157
1132051300	서울특별시	도봉구	창제3동	37.635269	127.045008	61	128	158
1132051400	서울특별시	도봉구	창제4동	37.649397	127.053667	61	129	159
1132051500	서울특별시	도봉구	창제5동	37.649214	127.041297	61	129	160
1132052100	서울특별시	도봉구	도봉제1동	37.675819	127.045511	61	129	161
1132052200	서울특별시	도봉구	도봉제2동	37.667	127.048708	61	129	162
1132066000	서울특별시	도봉구	쌍문제1동	37.645247	127.028178	61	128	163
1132067000	서울특별시	도봉구	쌍문제2동	37.655081	127.040911	61	129	164
1132068000	서울특별시	도봉구	쌍문제3동	37.646194	127.030089	61	128	165
1132068100	서울특별시	도봉구	쌍문제4동	37.653625	127.030544	61	129	166
1132069000	서울특별시	도봉구	방학제1동	37.661433	127.042767	61	129	167
1132070000	서울특별시	도봉구	방학제2동	37.665436	127.037222	61	129	168
1132071000	서울특별시	도봉구	방학제3동	37.656228	127.030078	61	129	169
1135000000	서울특별시	노원구		37.651461	127.058389	61	129	170
1135056000	서울특별시	노원구	월계1동	37.617319	127.065089	61	128	171
1135057000	서울특별시	노원구	월계2동	37.629761	127.052997	61	128	172
1135058000	서울특별시	노원구	월계3동	37.618206	127.071331	61	128	173
1135059500	서울특별시	노원구	공릉1동	37.624727	127.073752	61	128	174
1135060000	서울특별시	노원구	공릉2동	37.618569	127.085442	62	128	175
1135061100	서울특별시	노원구	하계1동	37.637783	127.074731	61	128	176
1135061200	서울특별시	노원구	하계2동	37.62925	127.070111	61	128	177
1135061900	서울특별시	노원구	중계본동	37.645072	127.082456	62	128	178
1135062100	서울특별시	노원구	중계1동	37.649786	127.079664	62	129	179
1135062400	서울특별시	노원구	중계4동	37.655967	127.080089	62	129	180
1135062500	서울특별시	노원구	중계2.3동	37.642183	127.068713	61	128	181
1135063000	서울특별시	노원구	상계1동	37.677103	127.057211	61	129	182
1135064000	서울특별시	노원구	상계2동	37.655975	127.070708	61	129	183
1135066500	서울특별시	노원구	상계3.4동	37.661	127.077467	61	129	184
1135067000	서울특별시	노원구	상계5동	37.660219	127.071486	61	129	185
1135069500	서울특별시	노원구	상계6.7동	37.652089	127.069067	61	129	186
1135070000	서울특별시	노원구	상계8동	37.663944	127.053667	61	129	187
1135071000	서울특별시	노원구	상계9동	37.661711	127.065956	61	129	188
1135072000	서울특별시	노원구	상계10동	37.658433	127.062367	61	129	189
1138000000	서울특별시	은평구		37.599969	126.931242	59	127	190
1138051000	서울특별시	은평구	녹번동	37.599961	126.936844	59	127	191
1138052000	서울특별시	은평구	불광제1동	37.607536	126.934189	59	128	192
1138053000	서울특별시	은평구	불광제2동	37.618794	126.929819	59	128	193
1138055100	서울특별시	은평구	갈현제1동	37.620897	126.918789	59	128	194
1138055200	서울특별시	은평구	갈현제2동	37.615767	126.917889	59	128	195
1138056000	서울특별시	은평구	구산동	37.609019	126.9125	59	128	196
1138057000	서울특별시	은평구	대조동	37.611339	126.922889	59	128	197
1138058000	서울특별시	은평구	응암제1동	37.597911	126.928864	59	127	198
1138059000	서울특별시	은평구	응암제2동	37.591817	126.925131	59	127	199
1138060000	서울특별시	은평구	응암제3동	37.589386	126.917842	59	127	200
1138062500	서울특별시	은평구	역촌동	37.601619	126.917278	59	127	201
1138063100	서울특별시	은평구	신사제1동	37.595219	126.914386	59	127	202
1138063200	서울특별시	은평구	신사제2동	37.589333	126.914833	59	127	203
1138064000	서울특별시	은평구	증산동	37.581531	126.909222	59	127	204
1138065000	서울특별시	은평구	수색동	37.581358	126.899642	58	127	205
1138069000	서울특별시	은평구	진관동	37.6356	126.921111	59	128	206
1141000000	서울특별시	서대문구		37.576367	126.938897	59	127	207
1141052000	서울특별시	서대문구	천연동	37.568303	126.961175	60	127	208
1141055500	서울특별시	서대문구	북아현동	37.556869	126.958911	59	126	209
1141056500	서울특별시	서대문구	충현동	37.562061	126.956844	59	127	210
1141058500	서울특별시	서대문구	신촌동	37.556739	126.945586	59	126	211
1141061500	서울특별시	서대문구	연희동	37.571122	126.937353	59	127	212
1141062000	서울특별시	서대문구	홍제제1동	37.5849	126.946986	59	127	213
1141064000	서울특별시	서대문구	홍제제3동	37.592444	126.951167	59	127	214
1141065500	서울특별시	서대문구	홍제제2동	37.583339	126.951467	59	127	215
1141066000	서울특별시	서대문구	홍은제1동	37.590431	126.945956	59	127	216
1141068500	서울특별시	서대문구	홍은제2동	37.580158	126.938486	59	127	217
1141069000	서울특별시	서대문구	남가좌제1동	37.571194	126.915578	59	127	218
1141070000	서울특별시	서대문구	남가좌제2동	37.575628	126.925911	59	127	219
1141071000	서울특별시	서대문구	북가좌제1동	37.576711	126.908978	59	127	220
1141072000	서울특별시	서대문구	북가좌제2동	37.578603	126.913219	59	127	221
1144000000	서울특별시	마포구		37.560706	126.910531	59	127	222
1144055500	서울특별시	마포구	아현동	37.544344	126.954222	59	126	223
1144056500	서울특별시	마포구	공덕동	37.547442	126.962089	60	126	224
1144058500	서울특별시	마포구	도화동	37.5349	126.952131	59	126	225
1144059000	서울특별시	마포구	용강동	37.539247	126.943733	59	126	226
1144060000	서울특별시	마포구	대흥동	37.55305	126.944811	59	126	227
1144061000	서울특별시	마포구	염리동	37.544386	126.947719	59	126	228
1144063000	서울특별시	마포구	신수동	37.544067	126.936642	59	126	229
1144065500	서울특별시	마포구	서강동	37.544447	126.934156	59	126	230
1144066000	서울특별시	마포구	서교동	37.549656	126.922975	59	126	231
1144068000	서울특별시	마포구	합정동	37.546722	126.907753	59	126	232
1144069000	서울특별시	마포구	망원제1동	37.552433	126.907767	59	126	233
1144070000	서울특별시	마포구	망원제2동	37.557564	126.904311	59	126	234
1144071000	서울특별시	마포구	연남동	37.561694	126.924067	59	127	235
1144072000	서울특별시	마포구	성산제1동	37.560583	126.910022	59	127	236
1144073000	서울특별시	마포구	성산제2동	37.565931	126.911153	59	127	237
1144074000	서울특별시	마포구	상암동	37.575514	126.896811	58	127	238
1147000000	서울특별시	양천구		37.514231	126.868708	58	126	239
1147051000	서울특별시	양천구	목1동	37.527539	126.873233	58	126	240
1147052000	서울특별시	양천구	목2동	37.543353	126.873808	58	126	241
1147053000	서울특별시	양천구	목3동	37.542097	126.8666	58	126	242
1147054000	서울특별시	양천구	목4동	37.529533	126.870497	58	126	243
1147055000	서울특별시	양천구	목5동	37.532417	126.880753	58	126	244
1147056000	서울특별시	양천구	신월1동	37.530006	126.8336	57	126	245
1147057000	서울특별시	양천구	신월2동	37.522172	126.846586	58	126	246
1147058000	서울특별시	양천구	신월3동	37.530847	126.831175	57	126	247
1147059000	서울특별시	양천구	신월4동	37.521906	126.842156	57	126	248
1147060000	서울특별시	양천구	신월5동	37.536889	126.829444	57	126	249
1147061000	서울특별시	양천구	신월6동	37.513303	126.845767	58	126	250
1147061100	서울특별시	양천구	신월7동	37.519092	126.836764	57	126	251
1147062000	서울특별시	양천구	신정1동	37.515731	126.856397	58	126	252
1147063000	서울특별시	양천구	신정2동	37.516408	126.872697	58	126	253
1147064000	서울특별시	양천구	신정3동	37.512336	126.856886	58	126	254
1147065000	서울특별시	양천구	신정4동	37.520636	126.8608	58	126	255
1147067000	서울특별시	양천구	신정6동	37.514247	126.866486	58	126	256
1147068000	서울특별시	양천구	신정7동	37.5116	126.861756	58	125	257
1150000000	서울특별시	강서구		37.548156	126.851675	58	126	258
1150051000	서울특별시	강서구	염창동	37.551044	126.873044	58	126	259
1150052000	서울특별시	강서구	등촌제1동	37.553067	126.860997	58	126	260
1150053000	서울특별시	강서구	등촌제2동	37.539853	126.864597	58	126	261
1150053500	서울특별시	강서구	등촌제3동	37.556094	126.850008	58	126	262
1150054000	서울특별시	강서구	화곡제1동	37.527744	126.843742	58	126	263
1150055000	서울특별시	강서구	화곡제2동	37.528789	126.856744	58	126	264
1150056000	서울특별시	강서구	화곡제3동	37.539942	126.840464	57	126	265
1150057000	서울특별시	강서구	화곡제4동	37.530133	126.865233	58	126	266
1150059000	서울특별시	강서구	화곡본동	37.541244	126.849753	58	126	267
1150059100	서울특별시	강서구	화곡제6동	37.548994	126.852244	58	126	268
1150059300	서울특별시	강서구	화곡제8동	37.529892	126.850422	58	126	269
1150060300	서울특별시	강서구	가양제1동	37.566478	126.842664	57	127	270
1150060400	서울특별시	강서구	가양제2동	37.564606	126.853364	58	127	271
1150060500	서울특별시	강서구	가양제3동	37.558275	126.862686	58	127	272
1150061100	서울특별시	강서구	발산제1동	37.550269	126.835244	57	126	273
1150061500	서울특별시	강서구	우장산동	37.548247	126.841885	58	126	274
1150062000	서울특별시	강서구	공항동	37.556106	126.812164	57	126	275
1150063000	서울특별시	강서구	방화제1동	37.568772	126.814311	57	127	276
1150064000	서울특별시	강서구	방화제2동	37.563875	126.808831	57	127	277
1150064100	서울특별시	강서구	방화제3동	37.575942	126.816019	57	127	278
1153000000	서울특별시	구로구		37.49265	126.889597	58	125	279
1153051000	서울특별시	구로구	신도림동	37.504978	126.882653	58	125	280
1153052000	서울특별시	구로구	구로제1동	37.490203	126.877856	58	125	281
